N,P,K,pH,Moisture,Temperature,Recommended Crop,Recommended Fertilizer & Quantity,Predicted Yield
68,30,68,6.3,46.9,25.4,Cotton,Urea - 45kg/ha,3.84
21,48,37,6.8,68.0,21.3,Wheat,Urea - 45kg/ha,5.83
63,48,58,6.5,33.7,24.6,Rice,Urea - 50kg/ha,2.74
42,20,49,5.7,66.4,26.1,Rice,Urea - 50kg/ha,5.18
71,36,67,7.1,43.8,26.9,Wheat,Potash - 40kg/ha,3.58
70,33,45,6.5,56.7,20.9,Corn,DAP - 60kg/ha,3.15
72,10,62,6.7,44.3,27.1,Soybean,Urea - 45kg/ha,5.55
40,23,49,6.2,54.0,27.8,Corn,Urea - 50kg/ha,4.14
54,46,36,7.3,39.2,23.7,Corn,Urea - 50kg/ha,4.29
20,36,63,6.9,55.0,26.7,Cotton,DAP - 60kg/ha,3.96
39,19,33,6.2,50.4,21.0,Soybean,Urea - 45kg/ha,3.92
78,41,47,6.5,44.5,29.9,Corn,DAP - 55kg/ha,4.92
57,20,44,6.1,47.6,20.7,Rice,DAP - 60kg/ha,5.16
71,39,51,6.8,50.0,22.0,Rice,Urea - 45kg/ha,5.26
66,24,31,7.1,46.6,27.6,Cotton,DAP - 60kg/ha,4.34
68,45,34,6.2,32.8,29.6,Soybean,DAP - 60kg/ha,4.96
21,10,66,7.1,61.5,22.5,Wheat,DAP - 55kg/ha,5.22
35,31,25,7.4,56.6,21.0,Rice,Urea - 45kg/ha,4.89
43,19,59,6.3,57.2,21.4,Wheat,Potash - 40kg/ha,3.18
51,39,21,6.0,32.1,26.8,Cotton,Potash - 40kg/ha,4.99
48,33,54,7.4,60.9,25.1,Rice,Urea - 50kg/ha,4.77
24,16,50,5.6,61.0,28.8,Rice,DAP - 55kg/ha,2.84
31,42,64,6.5,61.8,21.0,Corn,DAP - 55kg/ha,4.76
22,21,25,7.1,54.6,25.0,Cotton,DAP - 60kg/ha,5.56
21,46,25,5.6,50.6,26.1,Cotton,Urea - 45kg/ha,3.95
57,23,69,6.8,64.9,28.6,Corn,Potash - 40kg/ha,2.97
79,26,21,7.2,53.3,25.5,Cotton,DAP - 55kg/ha,4.64
50,18,29,6.1,33.7,21.8,Corn,Potash - 40kg/ha,3.34
25,33,45,6.1,43.9,28.9,Corn,DAP - 60kg/ha,4.41
48,19,56,5.6,58.5,28.7,Corn,Potash - 40kg/ha,4.84
39,35,58,6.6,46.4,28.7,Soybean,Potash - 40kg/ha,4.29
23,13,63,5.6,62.0,25.9,Rice,Urea - 50kg/ha,3.58
48,13,25,5.5,48.7,29.6,Rice,Urea - 50kg/ha,5.5
29,36,39,5.8,45.4,25.6,Rice,DAP - 55kg/ha,2.98
71,24,40,6.4,44.0,21.5,Soybean,DAP - 60kg/ha,2.65
54,24,29,7.0,42.6,24.0,Rice,Urea - 45kg/ha,5.4
46,21,43,6.9,49.2,28.2,Corn,DAP - 55kg/ha,2.62
20,40,34,6.1,54.0,29.8,Wheat,DAP - 60kg/ha,4.21
60,21,63,6.1,67.0,28.3,Wheat,Urea - 45kg/ha,4.38
44,44,53,6.8,59.3,23.6,Rice,DAP - 55kg/ha,3.68
42,19,57,6.9,38.5,20.1,Cotton,Potash - 40kg/ha,3.47
70,29,31,6.9,48.2,21.8,Rice,Potash - 40kg/ha,5.09
69,32,67,5.8,42.3,20.4,Soybean,Potash - 40kg/ha,3.78
39,33,49,5.6,39.7,28.2,Cotton,Urea - 45kg/ha,2.93
30,25,32,6.5,56.3,23.1,Wheat,Potash - 40kg/ha,4.12
60,12,47,6.3,34.5,27.0,Corn,DAP - 55kg/ha,5.04
44,16,36,7.4,31.0,24.1,Rice,Urea - 50kg/ha,3.58
26,12,25,5.5,46.5,22.7,Rice,DAP - 60kg/ha,2.96
23,35,61,7.1,35.5,25.2,Rice,Urea - 50kg/ha,3.69
76,24,21,7.5,50.4,24.9,Cotton,DAP - 55kg/ha,4.41
25,11,33,7.2,52.0,28.2,Soybean,DAP - 60kg/ha,2.86
32,21,43,7.1,36.6,27.0,Corn,DAP - 60kg/ha,3.32
67,40,20,5.5,57.9,23.1,Corn,DAP - 60kg/ha,5.9
53,15,53,7.2,34.6,28.1,Rice,Urea - 45kg/ha,3.21
72,41,26,6.7,54.7,26.0,Corn,DAP - 60kg/ha,2.72
78,16,29,6.8,55.8,23.4,Corn,DAP - 55kg/ha,4.01
39,41,35,6.3,62.4,28.1,Rice,DAP - 60kg/ha,2.76
69,34,38,7.4,65.5,23.7,Rice,DAP - 60kg/ha,2.55
53,24,45,6.5,56.8,20.5,Soybean,Urea - 45kg/ha,2.55
32,28,67,6.7,54.8,28.8,Rice,Potash - 40kg/ha,3.54
73,48,63,5.9,57.1,24.4,Rice,Urea - 45kg/ha,2.76
25,46,66,6.6,51.1,23.2,Soybean,Urea - 45kg/ha,3.18
28,29,55,5.9,54.7,29.1,Soybean,Potash - 40kg/ha,4.77
49,29,59,5.7,66.2,22.5,Corn,Urea - 45kg/ha,3.51
46,23,61,6.5,57.8,29.7,Rice,Urea - 50kg/ha,4.51
28,35,57,7.2,42.0,20.3,Cotton,DAP - 55kg/ha,3.94
29,15,53,7.3,58.6,26.7,Rice,Urea - 45kg/ha,5.6
57,16,47,7.4,33.6,20.6,Corn,Potash - 40kg/ha,4.94
20,19,35,7.4,48.1,20.9,Wheat,Urea - 50kg/ha,5.48
22,35,63,7.4,45.7,29.6,Soybean,Urea - 50kg/ha,4.32
53,18,42,6.9,43.4,29.2,Rice,Potash - 40kg/ha,5.23
74,13,42,5.7,54.9,28.4,Cotton,DAP - 55kg/ha,4.65
68,32,69,6.7,36.8,26.8,Cotton,Urea - 45kg/ha,5.1
55,20,64,6.7,67.7,24.7,Rice,DAP - 60kg/ha,4.9
52,34,27,5.7,40.3,26.8,Wheat,Potash - 40kg/ha,3.55
63,42,28,6.9,57.7,25.6,Soybean,Urea - 45kg/ha,2.94
67,17,45,6.3,47.5,28.5,Rice,DAP - 55kg/ha,5.32
64,20,28,5.6,38.2,27.4,Corn,Urea - 50kg/ha,2.77
22,39,28,7.4,47.0,26.8,Soybean,Urea - 45kg/ha,4.62
71,31,58,5.9,44.5,21.9,Cotton,DAP - 55kg/ha,5.96
50,12,39,5.7,61.2,26.6,Wheat,Urea - 45kg/ha,3.14
25,44,24,5.9,56.3,24.9,Corn,DAP - 55kg/ha,5.1
35,15,33,7.0,63.3,27.8,Rice,DAP - 60kg/ha,5.84
62,47,44,7.0,31.7,24.5,Soybean,DAP - 55kg/ha,4.23
32,29,37,5.7,63.3,25.0,Rice,Urea - 45kg/ha,4.51
52,22,51,6.5,46.5,24.2,Cotton,DAP - 55kg/ha,3.79
20,38,64,6.9,40.3,29.8,Wheat,Urea - 50kg/ha,4.05
65,46,65,6.9,38.2,25.9,Corn,Urea - 50kg/ha,4.71
79,39,66,6.8,43.9,29.1,Cotton,Potash - 40kg/ha,5.55
73,48,42,6.3,43.8,28.7,Rice,Urea - 50kg/ha,5.83
28,30,57,6.3,35.7,27.5,Corn,Urea - 50kg/ha,4.4
41,29,34,7.3,54.0,25.0,Rice,DAP - 55kg/ha,5.24
69,28,57,7.4,33.3,25.4,Rice,Urea - 45kg/ha,5.08
66,34,31,5.9,50.0,29.3,Wheat,Potash - 40kg/ha,3.36
53,43,36,7.5,45.7,22.3,Wheat,Urea - 45kg/ha,4.12
53,49,53,5.8,62.6,27.8,Wheat,DAP - 60kg/ha,4.89
72,13,42,7.1,38.8,23.0,Wheat,Urea - 50kg/ha,2.95
20,22,55,5.7,52.4,20.6,Wheat,Urea - 45kg/ha,5.59
56,12,37,6.7,34.7,23.9,Soybean,Potash - 40kg/ha,3.91
75,20,51,6.6,58.7,25.2,Wheat,DAP - 60kg/ha,4.09
60,46,59,7.5,43.0,21.3,Wheat,DAP - 55kg/ha,5.54
42,29,65,6.5,68.4,27.5,Corn,DAP - 55kg/ha,3.1
78,43,60,6.8,66.3,27.4,Corn,Urea - 45kg/ha,2.62
37,17,45,6.9,49.1,27.3,Corn,DAP - 55kg/ha,3.5
31,23,68,7.0,61.6,23.2,Soybean,Potash - 40kg/ha,3.03
65,32,67,6.8,33.0,25.0,Wheat,Urea - 50kg/ha,5.95
24,15,35,7.1,61.3,21.7,Soybean,DAP - 55kg/ha,4.48
39,17,31,7.0,47.9,24.4,Soybean,Urea - 45kg/ha,4.48
78,23,51,6.2,33.8,29.6,Rice,Urea - 45kg/ha,5.28
38,31,41,5.7,41.1,23.0,Soybean,DAP - 55kg/ha,3.4
74,31,41,7.3,42.0,20.5,Rice,Potash - 40kg/ha,4.33
21,35,43,5.5,58.7,23.1,Cotton,Urea - 45kg/ha,3.0
23,20,48,5.9,61.5,28.4,Corn,Urea - 45kg/ha,2.83
46,23,59,6.6,51.3,29.1,Rice,Urea - 45kg/ha,4.04
27,27,62,7.1,43.2,20.1,Cotton,DAP - 55kg/ha,5.7
53,17,54,5.9,46.3,24.8,Soybean,DAP - 60kg/ha,4.04
72,20,39,6.8,55.0,29.5,Rice,DAP - 55kg/ha,4.08
57,43,63,6.3,55.3,21.3,Soybean,Urea - 50kg/ha,5.53
26,11,32,5.5,37.2,20.6,Rice,Urea - 45kg/ha,3.5
48,27,24,6.9,50.0,27.6,Corn,DAP - 60kg/ha,4.21
59,21,57,6.7,52.7,26.4,Soybean,Urea - 45kg/ha,3.08
63,12,37,5.6,60.0,27.2,Wheat,DAP - 55kg/ha,5.46
37,30,31,7.2,48.7,22.7,Wheat,Urea - 45kg/ha,2.63
74,28,67,5.8,67.5,24.0,Rice,DAP - 60kg/ha,3.95
61,13,49,7.1,56.6,25.7,Corn,Potash - 40kg/ha,3.47
77,43,20,6.3,58.9,27.6,Soybean,Potash - 40kg/ha,3.4
60,23,63,5.9,53.5,23.2,Soybean,Urea - 50kg/ha,3.35
30,35,50,6.7,63.8,24.1,Rice,DAP - 60kg/ha,3.79
27,37,34,6.4,44.4,25.4,Corn,Potash - 40kg/ha,5.66
21,26,38,7.3,31.3,20.1,Cotton,DAP - 60kg/ha,4.98
28,29,65,6.8,34.6,28.5,Soybean,DAP - 55kg/ha,5.61
58,25,24,7.1,47.1,26.2,Cotton,Urea - 45kg/ha,3.19
60,36,35,5.6,45.7,20.8,Soybean,DAP - 60kg/ha,5.47
25,28,62,6.5,47.9,23.5,Rice,Urea - 45kg/ha,4.0
48,31,63,6.2,51.6,21.8,Corn,DAP - 55kg/ha,5.93
33,12,25,5.8,46.3,20.4,Wheat,Urea - 50kg/ha,4.58
59,41,29,7.4,31.8,23.1,Rice,DAP - 55kg/ha,4.21
34,22,35,6.9,62.0,28.7,Wheat,Urea - 45kg/ha,5.74
70,22,24,6.1,67.4,20.7,Cotton,DAP - 55kg/ha,3.83
66,35,63,6.4,53.2,28.8,Cotton,Urea - 50kg/ha,5.12
74,44,20,6.5,48.7,22.2,Rice,Urea - 45kg/ha,4.16
67,23,24,5.5,34.6,29.6,Cotton,Urea - 50kg/ha,5.07
66,44,31,7.0,66.9,22.2,Soybean,Urea - 50kg/ha,3.46
24,29,67,7.1,44.5,28.6,Corn,DAP - 60kg/ha,3.92
30,19,57,7.0,61.0,29.2,Rice,DAP - 55kg/ha,3.71
56,29,56,6.3,37.7,29.2,Cotton,DAP - 60kg/ha,5.54
42,32,39,5.7,66.4,21.2,Cotton,Urea - 45kg/ha,5.75
68,18,27,5.5,58.5,26.7,Cotton,Potash - 40kg/ha,5.07
37,20,27,6.4,42.5,28.2,Cotton,Urea - 45kg/ha,5.38
29,25,26,7.4,60.3,27.4,Wheat,DAP - 60kg/ha,3.74
78,30,49,6.4,42.2,24.7,Soybean,DAP - 55kg/ha,3.03
77,21,63,7.3,38.6,29.4,Soybean,Potash - 40kg/ha,4.9
66,14,38,6.7,62.3,21.8,Cotton,Urea - 45kg/ha,4.73
40,11,44,6.7,67.2,28.8,Wheat,Urea - 50kg/ha,3.42
25,25,34,7.1,32.1,22.4,Cotton,DAP - 60kg/ha,5.69
67,17,68,6.1,33.5,24.5,Corn,DAP - 55kg/ha,3.75
31,47,20,6.6,65.4,24.6,Soybean,Potash - 40kg/ha,5.35
57,27,44,5.7,67.9,22.9,Rice,DAP - 60kg/ha,2.95
25,15,54,7.4,58.3,22.8,Corn,DAP - 55kg/ha,3.5
31,40,47,7.5,47.2,23.7,Wheat,DAP - 60kg/ha,4.65
58,13,40,6.6,50.7,20.1,Rice,Urea - 45kg/ha,3.35
21,22,42,7.3,44.8,22.4,Corn,Urea - 45kg/ha,5.85
46,33,48,7.2,67.8,29.5,Cotton,Urea - 50kg/ha,4.43
76,19,52,6.6,57.3,27.2,Cotton,Potash - 40kg/ha,5.06
32,47,45,6.7,67.9,24.4,Soybean,DAP - 60kg/ha,4.47
31,21,65,7.0,66.2,20.0,Rice,Urea - 50kg/ha,3.92
22,12,32,6.2,57.4,27.1,Rice,Potash - 40kg/ha,5.38
44,27,23,6.1,39.4,24.9,Wheat,Urea - 45kg/ha,2.58
43,39,52,7.2,48.0,26.6,Soybean,DAP - 60kg/ha,3.99
65,34,29,5.9,57.0,23.9,Cotton,Urea - 45kg/ha,5.58
52,10,58,6.0,48.8,20.0,Rice,Urea - 45kg/ha,2.8
26,15,39,6.7,47.7,25.8,Rice,DAP - 55kg/ha,3.23
30,46,57,6.3,46.9,27.9,Soybean,Potash - 40kg/ha,5.86
25,43,69,5.8,37.1,22.2,Rice,DAP - 55kg/ha,5.86
51,24,50,7.5,45.4,26.6,Rice,Potash - 40kg/ha,3.85
44,23,32,6.4,69.5,23.5,Corn,DAP - 60kg/ha,5.13
71,15,53,7.5,40.3,28.3,Rice,Urea - 50kg/ha,4.69
69,46,30,6.4,42.4,24.4,Wheat,Urea - 45kg/ha,4.23
24,11,46,7.1,68.5,20.6,Soybean,DAP - 55kg/ha,5.35
63,15,26,6.9,50.5,25.3,Soybean,Urea - 45kg/ha,4.78
31,40,68,6.2,60.9,26.1,Wheat,Potash - 40kg/ha,2.82
40,21,34,5.7,39.9,23.2,Corn,Urea - 45kg/ha,5.44
69,10,30,5.8,46.1,20.8,Corn,Urea - 50kg/ha,3.46
66,44,21,5.6,54.9,27.5,Cotton,DAP - 60kg/ha,4.72
53,32,30,6.8,40.0,25.4,Rice,DAP - 55kg/ha,5.21
27,28,65,5.6,45.4,22.1,Wheat,Urea - 45kg/ha,5.64
34,15,60,6.1,49.0,21.9,Soybean,Urea - 50kg/ha,5.74
76,11,64,5.7,63.7,25.5,Corn,Urea - 50kg/ha,5.74
36,32,60,6.7,57.7,23.1,Wheat,DAP - 60kg/ha,4.8
25,37,44,6.9,66.7,26.9,Cotton,Potash - 40kg/ha,4.68
41,31,34,6.4,68.7,23.5,Cotton,Potash - 40kg/ha,2.55
42,45,21,7.4,48.9,24.7,Rice,Potash - 40kg/ha,2.8
57,11,41,6.0,46.8,20.6,Corn,DAP - 60kg/ha,3.87
65,26,29,7.5,52.4,24.6,Cotton,Urea - 50kg/ha,5.27
68,44,55,6.7,65.9,20.1,Rice,Urea - 50kg/ha,4.57
25,20,25,7.2,30.8,23.6,Corn,DAP - 60kg/ha,3.32
39,31,51,5.7,39.3,23.1,Cotton,DAP - 60kg/ha,2.93
52,18,32,7.5,63.5,27.6,Soybean,DAP - 55kg/ha,4.14
45,11,51,7.0,50.9,27.7,Soybean,DAP - 55kg/ha,5.7
67,15,55,6.7,63.3,24.2,Wheat,Urea - 45kg/ha,2.69
57,46,21,5.5,56.1,29.8,Soybean,DAP - 55kg/ha,4.12
38,20,32,5.5,62.5,22.5,Soybean,DAP - 60kg/ha,2.71
23,20,61,5.8,46.7,21.7,Corn,DAP - 60kg/ha,3.38
27,31,26,6.3,30.4,28.1,Rice,DAP - 60kg/ha,5.84
75,46,51,6.1,57.0,25.1,Soybean,Urea - 50kg/ha,2.87
47,14,56,7.2,49.9,22.0,Corn,DAP - 60kg/ha,2.68
54,34,55,7.0,69.3,23.3,Soybean,Urea - 50kg/ha,2.81
47,15,48,7.3,34.8,20.9,Cotton,Urea - 50kg/ha,4.92
62,18,58,6.2,54.8,27.0,Corn,Urea - 50kg/ha,2.54
39,12,61,7.1,42.0,25.0,Rice,DAP - 55kg/ha,3.88
70,35,30,7.2,50.1,25.6,Wheat,Potash - 40kg/ha,5.84
75,26,31,7.5,32.9,20.7,Rice,DAP - 60kg/ha,2.74
70,24,69,7.1,64.4,27.0,Wheat,Urea - 50kg/ha,5.76
45,12,55,7.2,65.7,22.9,Soybean,DAP - 60kg/ha,2.91
67,38,46,6.1,49.7,21.6,Corn,DAP - 55kg/ha,2.95
51,38,46,6.8,33.3,24.2,Rice,DAP - 60kg/ha,4.62
70,40,49,6.8,53.2,28.5,Cotton,Potash - 40kg/ha,3.35
49,28,20,6.7,41.5,23.7,Rice,Potash - 40kg/ha,2.51
41,49,45,7.4,31.0,21.1,Wheat,DAP - 60kg/ha,5.12
70,46,54,6.3,63.2,29.4,Soybean,DAP - 60kg/ha,3.8
72,15,27,7.2,35.2,26.4,Corn,Potash - 40kg/ha,5.68
51,10,47,5.6,67.0,23.0,Soybean,Urea - 50kg/ha,3.47
39,19,23,6.3,56.5,25.8,Cotton,Urea - 50kg/ha,4.84
33,18,50,5.6,35.7,20.9,Wheat,Urea - 50kg/ha,3.64
31,48,31,6.7,40.7,25.6,Wheat,Urea - 50kg/ha,3.02
20,24,36,6.7,69.1,28.2,Wheat,Urea - 45kg/ha,5.91
62,30,56,6.2,55.9,21.4,Soybean,Urea - 50kg/ha,4.56
62,37,68,7.3,49.3,28.3,Cotton,Urea - 45kg/ha,5.44
42,29,37,5.8,68.2,25.5,Rice,Urea - 50kg/ha,3.38
47,42,53,6.4,31.2,21.9,Wheat,Urea - 45kg/ha,3.88
41,42,41,6.7,45.3,22.1,Wheat,Urea - 50kg/ha,4.17
68,44,67,5.9,62.7,28.8,Wheat,Urea - 50kg/ha,4.7
29,13,31,7.1,68.2,24.8,Wheat,Potash - 40kg/ha,3.88
78,37,60,6.4,61.4,22.8,Cotton,DAP - 55kg/ha,3.37
55,45,54,6.5,55.5,22.5,Corn,Potash - 40kg/ha,3.16
44,30,32,6.3,35.1,24.0,Wheat,DAP - 55kg/ha,4.6
51,14,45,6.7,51.5,27.8,Corn,DAP - 60kg/ha,3.37
